Feed_Temp_C,Feed_Pressure_atm,Feed_x_Benzene,Num_Stages,Feed_Stage,Reflux_Ratio,Bottoms_Rate_kmol_h,xD_Benzene,xB_Toluene,Qc_kW,Qr_kW
33.46,1.36,0.3805,10,6,2.259,13.07,0.9713,0.995,678.61,736.88
73.13,1.17,0.4034,16,7,2.6484,12.42,0.9841,0.995,753.77,811.87
29.47,1.53,0.3659,12,6,2.3567,9.31,0.978,0.995,643.88,707.69
84.21,1.43,0.4321,19,9,1.7582,10.91,0.9693,0.9907,639.65,701.8
71.33,1.44,0.6027,11,5,2.3546,16.69,0.998,0.995,769.66,834.33
36.92,1.35,0.5078,18,8,1.4024,17.04,0.9715,0.9923,641.99,702.05
25.33,1.06,0.382,12,5,2.8122,8.01,0.9829,0.995,674.4,730.29
73.93,1.03,0.6511,11,5,3.5902,13.94,0.998,0.995,872.2,925.26
67.41,2.48,0.6518,17,7,3.2308,15.19,0.998,0.995,842.04,922.41
68.74,1.64,0.6482,19,11,2.2091,14.19,0.998,0.9874,709.76,771.39
71.28,1.58,0.3955,15,7,1.4438,8.82,0.9556,0.978,567.45,631.56
29.44,2.02,0.4805,15,7,1.766,10.18,0.9814,0.9815,592.77,661.83
46.51,1.33,0.694,19,11,2.7274,10.5,0.998,0.9768,710.76,770.8
31.95,2.42,0.6088,16,9,1.7798,16.32,0.998,0.9896,668.73,742.49
76.79,2.18,0.3109,16,6,2.7231,12.63,0.9691,0.995,763.35,837.82
62.4,1.13,0.3261,15,9,1.8485,12.87,0.9586,0.995,661.32,716.42
44.85,1.63,0.4856,13,6,3.577,17.35,0.9945,0.995,883.45,950.18
28.81,2.32,0.6637,18,8,2.3124,14.37,0.998,0.9922,701.04,773.97
43.66,2.42,0.5155,15,8,1.8875,16.99,0.9832,0.995,696.2,774.41
44.51,1.7,0.4991,13,7,3.4745,12.57,0.998,0.995,816.22,880.07
68.78,1.92,0.3422,12,6,2.1599,9.49,0.9662,0.995,654.16,721.73
63.25,1.25,0.5627,13,6,1.5122,17.3,0.9791,0.9878,675.22,733.97
78.23,2.49,0.6288,12,6,2.7971,12.59,0.998,0.995,773.21,848.81
53.33,1.35,0.4522,11,5,2.8284,9.82,0.9935,0.995,721.77,780.23
32.18,2.41,0.6102,14,8,3.2011,11.02,0.998,0.995,760.44,834.98
67.79,1.97,0.6858,11,5,1.8726,8.51,0.998,0.9579,610.82,681.08
70.65,1.91,0.3815,15,9,2.4426,12.68,0.9768,0.995,726.1,794.77
58.68,1.77,0.5093,12,6,1.9906,16.53,0.9808,0.995,711.91,778.55
71.26,1.35,0.4149,15,8,1.4267,17.34,0.9564,0.995,670.41,729.95
54.63,1.26,0.6171,19,10,3.6545,17.33,0.998,0.995,905.4,965.46
56.36,1.33,0.531,18,10,3.2408,9.25,0.998,0.995,764.73,826.79
50.65,1.28,0.5538,10,5,2.0441,11.82,0.9939,0.9859,653.39,713.74
26.53,2.17,0.6192,15,7,2.8782,8.28,0.998,0.9802,684.53,756.65
31.47,1.53,0.4584,18,8,1.7635,16.55,0.9693,0.995,665.66,726.09
26.89,1.09,0.666,13,7,3.6927,11.59,0.998,0.995,816.56,868.91
63.18,2.45,0.5132,11,6,1.5217,14.31,0.9725,0.9867,634.62,711.3
43.86,2.33,0.3632,13,6,1.2107,15.15,0.9455,0.9948,597.42,668.32
55.51,2.39,0.5784,10,4,2.6056,12.3,0.998,0.995,724.45,799.93
79.45,2.49,0.6173,12,6,2.8328,11.06,0.998,0.9852,759.14,839.33
39.96,1.26,0.4267,19,10,2.8211,17.62,0.9777,0.995,803.66,860.27
49.62,1.59,0.6429,18,9,1.3526,17.64,0.9865,0.9749,648.84,710.18
70.33,2.14,0.6625,19,11,2.0793,10.89,0.998,0.97,662.53,735.87
38.73,2.04,0.4108,14,8,2.5978,12.8,0.9796,0.995,718.95,784.0
29.62,1.23,0.6934,15,7,1.8064,17.73,0.998,0.9826,683.45,742.67
42.39,2.22,0.3563,12,6,3.6434,8.05,0.9809,0.995,786.17,862.46
34.67,1.34,0.3808,14,7,1.4439,12.13,0.9555,0.995,585.08,643.39
80.78,1.34,0.3737,17,8,2.5647,9.0,0.9791,0.995,702.72,760.67
73.49,1.81,0.6576,15,7,3.136,13.09,0.998,0.9944,811.34,879.6
63.0,1.89,0.5617,13,5,1.9329,8.25,0.9913,0.9779,614.82,680.82
77.29,1.87,0.3608,11,6,2.9479,12.07,0.9821,0.995,778.85,848.52
73.22,1.14,0.4761,18,9,3.5223,10.21,0.9965,0.995,814.26,869.14
36.19,2.32,0.5461,10,5,1.7329,13.33,0.9809,0.9844,624.19,702.47
78.55,1.4,0.3334,10,6,3.7682,17.96,0.9691,0.995,946.68,1008.98
57.36,1.19,0.653,13,7,2.75,16.01,0.998,0.995,789.88,847.87
73.45,2.33,0.6214,16,7,2.0378,16.46,0.998,0.9909,731.27,809.69
78.77,2.43,0.5021,10,5,2.4064,14.35,0.9937,0.995,748.23,826.79
44.08,2.29,0.6869,18,9,2.0741,8.42,0.998,0.9612,610.6,685.74
31.6,2.21,0.4671,13,7,3.2303,10.07,0.9968,0.995,748.19,817.68
38.68,1.98,0.6936,12,7,3.4296,17.25,0.998,0.995,861.19,929.53
50.63,1.83,0.5672,10,5,3.5322,11.66,0.998,0.995,821.53,891.09
74.08,1.13,0.5539,19,9,3.9602,9.04,0.998,0.995,857.8,912.15
76.64,1.61,0.3664,13,7,3.4156,15.02,0.9827,0.995,867.43,930.09
25.42,1.56,0.6528,18,7,2.8839,10.99,0.998,0.9873,714.94,776.28
55.64,1.39,0.471,19,8,2.1498,10.69,0.9862,0.995,660.75,722.4
50.04,2.09,0.3649,15,7,2.7249,17.98,0.971,0.995,809.32,882.53
38.33,1.74,0.305,15,6,1.315,16.58,0.9322,0.995,627.2,695.29
32.19,1.12,0.5239,10,4,3.2855,12.08,0.998,0.995,782.02,837.14
45.26,1.33,0.511,19,11,2.4487,17.8,0.9897,0.995,768.49,829.22
81.57,2.02,0.5877,11,6,1.2561,14.5,0.9773,0.9657,627.33,695.9
44.39,1.11,0.6561,15,7,1.375,15.42,0.9969,0.9678,625.48,681.78
56.13,2.28,0.3318,11,5,2.2849,8.32,0.9637,0.995,648.3,723.5
67.18,1.74,0.5926,12,5,2.8336,9.22,0.998,0.9911,724.87,793.14
46.82,1.72,0.375,13,6,2.4998,14.33,0.9719,0.995,733.17,794.68
83.31,1.89,0.6433,14,6,2.9338,16.99,0.998,0.995,841.8,910.32
82.75,2.24,0.6276,18,11,2.5448,14.24,0.998,0.9939,763.78,840.15
40.11,1.52,0.5163,13,6,3.0528,9.34,0.998,0.995,734.03,797.32
54.83,2.02,0.5841,18,9,1.8136,9.16,0.9959,0.9725,600.89,671.31
43.05,1.85,0.4257,19,8,1.516,16.44,0.9612,0.995,649.97,716.57
42.09,1.4,0.4885,12,7,2.87,9.39,0.998,0.995,710.11,773.88
27.21,2.32,0.6287,17,9,2.5571,13.2,0.998,0.9934,710.05,783.79
61.57,2.2,0.4837,10,6,1.2752,8.37,0.962,0.9576,539.65,612.39
55.16,1.99,0.4431,18,10,2.2653,8.81,0.9757,0.9914,650.63,719.51
28.09,2.28,0.4977,18,8,1.4972,14.72,0.9737,0.9884,613.06,687.42
41.72,2.3,0.6313,19,9,2.6878,14.89,0.998,0.995,754.32,831.68
79.5,2.06,0.4341,11,6,2.3082,11.41,0.9826,0.995,704.53,773.66
39.37,2.26,0.3695,13,6,2.9168,10.16,0.9752,0.995,721.92,795.98
33.69,2.05,0.5848,17,9,3.4557,16.14,0.998,0.995,855.36,926.83
54.37,2.02,0.6304,16,6,2.0391,10.17,0.998,0.9757,639.06,707.74
84.14,1.93,0.3403,10,4,3.8939,13.42,0.9762,0.995,904.68,973.48
39.52,2.13,0.3959,14,7,2.6998,17.68,0.9814,0.995,796.7,872.34
65.33,1.24,0.3568,16,8,2.9312,9.48,0.9803,0.995,740.66,795.69
70.7,2.32,0.4392,13,7,3.1059,17.41,0.9858,0.995,854.42,928.4
39.26,2.31,0.4801,10,4,3.0668,9.83,0.9977,0.995,734.33,809.45
68.69,1.04,0.5995,18,9,2.6307,13.67,0.998,0.995,759.85,814.76
47.07,2.24,0.5605,14,6,2.4005,11.77,0.998,0.995,693.08,772.44
62.94,1.19,0.5484,11,5,1.3506,17.65,0.9693,0.9886,663.38,722.37
63.01,1.5,0.4409,17,8,1.2618,10.74,0.9593,0.9757,566.05,626.5
57.15,2.12,0.6366,11,5,2.2023,12.0,0.998,0.9818,684.03,751.09
30.42,1.24,0.4885,12,5,2.1343,17.83,0.985,0.995,716.33,775.63
75.12,2.23,0.6916,19,9,2.2855,13.36,0.998,0.982,721.42,793.31
44.25,2.25,0.5537,10,5,1.5874,13.03,0.9805,0.9777,614.48,690.78
36.19,1.76,0.3505,11,5,3.2669,10.58,0.9833,0.995,763.88,829.75
27.45,1.01,0.5705,16,7,3.5995,15.01,0.998,0.995,847.76,901.76
60.45,1.43,0.43,19,8,3.8284,8.14,0.9939,0.995,820.63,880.92
65.65,1.93,0.5745,11,5,2.5786,8.5,0.998,0.9824,684.65,755.5
26.0,2.47,0.3279,15,8,3.1624,13.99,0.9686,0.995,780.02,857.93
55.73,1.95,0.37,12,5,3.5955,11.42,0.9863,0.995,823.98,896.7
38.59,1.39,0.6423,13,6,2.3712,17.53,0.998,0.995,755.17,815.59
63.71,1.95,0.3909,17,8,2.0664,17.03,0.9689,0.995,727.72,798.71
35.46,1.81,0.6348,12,6,3.8228,15.14,0.998,0.995,878.81,947.72
66.46,2.17,0.4117,19,11,2.6439,16.18,0.978,0.995,790.69,864.58
48.2,1.16,0.5572,15,8,2.5923,14.67,0.998,0.995,749.62,806.01
81.2,2.14,0.5777,10,5,1.6996,9.26,0.9943,0.9629,616.37,689.44
33.25,1.81,0.5051,16,8,1.5028,15.66,0.9739,0.9949,623.67,690.66
45.46,2.44,0.4221,17,9,3.5579,10.1,0.9901,0.995,798.0,874.42
31.81,1.51,0.3851,17,9,2.9196,11.23,0.9815,0.995,735.42,796.5
80.48,1.95,0.3133,12,5,2.1123,16.19,0.9605,0.995,737.67,802.66
77.64,2.4,0.4216,19,8,1.7369,13.37,0.966,0.995,666.65,745.12
40.48,1.15,0.5613,10,5,2.7554,16.6,0.998,0.995,783.96,842.13
64.6,2.41,0.6753,18,10,2.835,10.13,0.998,0.9823,736.39,809.79
74.03,2.03,0.6485,15,8,1.7796,14.08,0.998,0.9786,677.71,749.62
58.31,1.1,0.6064,18,10,3.5839,8.84,0.998,0.9929,798.23,857.29
56.78,1.45,0.6154,16,8,1.4359,14.43,0.9867,0.9718,624.77,688.1
39.51,2.06,0.566,10,5,2.1971,15.63,0.998,0.995,712.48,781.63
30.59,1.1,0.4041,10,4,3.1051,13.85,0.9773,0.995,780.23,835.29
78.83,1.87,0.6629,15,7,1.9675,10.66,0.998,0.9712,658.26,725.27
79.03,1.52,0.5683,14,8,3.5175,8.31,0.998,0.995,796.15,860.65
62.99,1.93,0.5242,18,9,3.2716,9.19,0.998,0.995,770.69,840.62
45.34,1.07,0.3444,11,5,3.4093,14.22,0.9752,0.995,835.54,897.15
45.95,2.31,0.4788,17,10,1.5335,17.34,0.9628,0.9932,662.68,734.01
68.56,2.46,0.4841,14,6,1.5935,10.07,0.9717,0.9839,604.2,681.0
78.83,2.45,0.6458,11,7,2.0021,15.35,0.998,0.9892,726.78,799.72
78.23,2.12,0.5187,19,9,2.6506,16.66,0.9918,0.995,804.04,877.1
71.79,1.2,0.4522,15,7,3.2944,13.21,0.9879,0.995,830.17,890.23
63.52,2.14,0.6907,19,9,3.5423,14.69,0.998,0.995,868.21,943.16
30.05,1.04,0.3443,17,7,3.1721,16.15,0.9738,0.995,817.45,873.38
34.7,1.03,0.469,13,5,3.8001,10.61,0.998,0.995,825.41,877.08
78.91,1.49,0.3168,11,6,3.2685,10.97,0.9733,0.995,803.55,865.73
61.39,1.73,0.596,14,8,2.0576,8.01,0.998,0.9744,619.53,686.39
25.55,2.16,0.6672,11,6,1.9422,17.63,0.998,0.9942,691.08,761.4
31.09,2.02,0.412,11,5,3.1493,17.18,0.9841,0.995,826.38,896.22
64.81,1.67,0.6433,15,8,1.74,15.65,0.998,0.9884,683.7,746.18
25.3,1.41,0.4169,19,8,1.4596,8.79,0.9578,0.9764,533.47,593.4
34.65,2.5,0.6643,18,7,2.6902,12.48,0.998,0.9851,724.08,803.34
57.92,1.64,0.6016,13,7,3.5006,9.02,0.998,0.9899,789.26,855.21
66.51,1.68,0.622,15,8,1.4839,8.16,0.998,0.9538,562.48,624.85
64.12,1.25,0.3072,16,7,3.4173,14.16,0.9712,0.995,841.58,898.85
38.46,2.19,0.6851,15,6,3.4724,17.61,0.998,0.995,878.12,951.11
67.73,2.04,0.5907,17,10,2.5504,17.03,0.998,0.995,790.62,861.68
39.23,1.33,0.4219,13,5,1.3605,14.97,0.9602,0.9945,618.65,677.29
44.52,1.12,0.6318,10,5,1.6889,8.97,0.998,0.9619,582.23,640.03
69.79,2.02,0.4126,16,8,3.1808,10.74,0.9865,0.995,788.64,858.88
63.98,1.98,0.6491,12,5,3.193,11.2,0.998,0.995,781.57,846.14
75.95,1.41,0.345,15,7,3.7154,15.63,0.9763,0.995,901.73,961.74
64.46,2.43,0.5815,11,5,2.8315,16.02,0.998,0.995,805.43,880.62
59.1,1.23,0.5163,18,10,1.5475,11.85,0.9794,0.9741,606.27,666.03
30.62,1.65,0.3386,10,5,1.54,12.18,0.9479,0.995,587.99,654.11
47.06,2.42,0.3968,15,8,3.2192,8.45,0.9832,0.995,750.68,823.57
40.91,1.63,0.305,15,9,1.7146,10.89,0.9562,0.995,605.6,670.92
39.64,1.96,0.4875,14,8,2.1195,12.51,0.9843,0.995,662.2,731.42
83.38,1.6,0.4205,14,7,2.5642,9.17,0.9845,0.995,701.71,765.9
48.59,1.41,0.5393,10,5,1.2693,12.53,0.9713,0.9663,575.83,635.77
78.52,2.48,0.4189,19,10,1.8967,16.53,0.9656,0.995,718.16,795.18
62.87,1.61,0.42,14,7,2.3421,13.81,0.9797,0.995,722.72,789.23
72.69,2.34,0.5973,11,6,1.983,8.79,0.998,0.9754,627.91,703.25
55.16,1.34,0.3193,16,8,1.5818,9.92,0.9471,0.995,590.52,650.61
59.61,1.32,0.6612,12,5,3.2384,12.75,0.998,0.9947,804.73,863.57
54.55,1.05,0.6409,13,6,3.4768,11.61,0.998,0.995,817.41,875.22
36.71,1.98,0.5671,12,5,1.9209,11.59,0.9902,0.9765,629.88,696.99
68.35,1.55,0.5373,12,5,3.3684,13.29,0.998,0.995,837.53,899.21
41.85,2.3,0.6569,13,5,2.2795,13.84,0.998,0.9853,699.64,771.41
26.46,1.71,0.3741,14,7,2.6187,15.97,0.9722,0.995,748.07,814.12
63.73,2.45,0.3316,10,5,3.5968,11.41,0.9818,0.995,831.75,910.9
35.63,1.28,0.3958,13,6,3.2999,16.05,0.9827,0.995,832.39,890.91
81.43,2.3,0.6178,17,8,3.4543,11.39,0.998,0.995,837.95,910.35
82.24,2.16,0.3139,19,9,1.5832,8.55,0.9495,0.9882,592.82,668.56
79.89,2.16,0.5331,16,7,1.3952,13.54,0.97,0.9799,629.9,703.15
47.21,2.27,0.6982,18,10,3.7015,13.88,0.998,0.995,864.13,938.69
25.93,2.14,0.6423,14,8,2.2859,17.35,0.998,0.995,730.34,802.08
80.7,1.94,0.5086,19,11,2.0061,15.26,0.9851,0.995,721.72,792.15
50.69,1.2,0.3255,13,7,3.2291,17.18,0.9751,0.995,850.78,909.25
83.0,1.05,0.6325,17,9,3.542,17.08,0.998,0.995,909.6,964.37
82.82,2.38,0.5396,18,7,3.615,14.05,0.998,0.995,879.51,954.6
76.18,1.92,0.346,16,7,2.0848,13.28,0.9662,0.995,705.15,771.99
42.67,2.19,0.3375,16,7,3.5862,13.57,0.9847,0.995,841.3,911.93
48.11,1.72,0.6639,14,8,1.3146,17.78,0.9857,0.9687,642.97,708.21
76.07,1.18,0.5677,13,6,1.3391,15.73,0.9766,0.9809,647.52,707.47
44.02,1.19,0.6317,19,8,2.9459,9.06,0.998,0.9885,716.06,771.81
35.17,2.03,0.6516,10,6,1.3767,15.78,0.9925,0.9699,617.82,689.91
58.41,1.65,0.5287,19,11,2.1089,9.71,0.9931,0.9854,646.1,709.19
81.17,1.3,0.507,19,11,3.0837,12.47,0.9972,0.995,808.39,864.33
66.76,1.74,0.4722,16,6,2.1443,10.1,0.9842,0.9927,660.85,728.0
59.2,1.1,0.4268,10,4,1.7029,14.9,0.969,0.995,661.3,721.0
30.83,1.87,0.4738,10,5,1.9878,16.77,0.9743,0.995,693.08,759.47
61.9,1.4,0.6096,14,6,2.4812,10.9,0.998,0.9835,705.27,763.18
84.4,2.2,0.5408,18,7,2.5311,8.82,0.998,0.9871,695.91,769.76
33.41,1.47,0.657,15,7,3.3924,10.98,0.998,0.9936,778.58,838.72
56.1,1.68,0.4774,12,7,3.3004,14.72,0.998,0.995,835.25,901.56
77.64,1.02,0.5428,12,6,2.4791,11.29,0.9932,0.995,715.14,772.71
69.45,1.11,0.5525,16,9,3.5679,10.78,0.998,0.995,826.46,883.75
66.82,1.59,0.5367,15,8,1.5199,9.84,0.9772,0.9679,587.34,652.79
67.15,1.72,0.5811,18,8,1.915,12.98,0.9978,0.9871,672.7,740.13
46.57,1.9,0.395,15,8,3.5183,10.76,0.986,0.995,802.64,873.12
42.62,1.44,0.5049,14,6,2.2584,15.31,0.9888,0.995,719.8,781.45
73.56,2.04,0.3417,19,8,3.9473,8.77,0.9818,0.995,848.48,920.68
73.61,2.29,0.4538,16,9,2.5055,14.64,0.988,0.995,765.5,840.19
77.02,2.17,0.4951,10,4,3.4174,10.38,0.998,0.995,807.88,881.21
79.79,1.06,0.5609,16,10,2.3265,12.89,0.9956,0.995,729.31,791.31
55.68,1.72,0.6802,12,5,2.3899,10.86,0.998,0.9779,686.53,752.82
55.09,1.16,0.5403,18,9,2.2721,15.23,0.9949,0.995,731.15,785.52
72.9,1.36,0.5974,15,7,3.2134,17.45,0.998,0.995,874.79,934.84
64.0,2.48,0.5025,18,8,2.7331,17.17,0.9961,0.995,799.33,875.91
67.12,1.21,0.5536,14,6,3.8426,13.83,0.998,0.995,893.83,951.5
72.75,1.75,0.3284,16,8,1.9025,12.63,0.9551,0.995,671.98,740.11
78.4,1.93,0.4018,13,7,1.4816,16.18,0.9532,0.995,673.88,745.05
45.28,2.05,0.4447,16,9,2.3011,14.83,0.9794,0.995,713.82,784.41
47.53,1.84,0.489,10,5,2.9268,9.84,0.9972,0.995,729.77,794.58
30.64,1.01,0.3183,16,9,3.6102,16.21,0.9739,0.995,866.73,922.15
59.7,1.49,0.356,17,9,2.1694,12.29,0.9593,0.995,685.15,746.41
27.16,1.78,0.4107,14,8,3.0306,9.89,0.9831,0.995,726.77,793.84
52.94,1.13,0.6886,11,5,2.1806,10.82,0.998,0.9709,665.5,722.23
57.56,1.53,0.4325,14,7,2.9282,10.68,0.9856,0.995,744.29,809.61
42.19,1.05,0.4928,15,8,3.6775,13.19,0.9924,0.995,847.38,903.67
60.45,1.12,0.3784,11,5,1.8478,10.34,0.9586,0.995,625.87,681.55
26.83,1.6,0.5443,15,8,2.3319,9.24,0.9945,0.9868,638.08,699.24
27.24,1.2,0.4123,15,8,3.9811,9.24,0.9919,0.995,820.13,878.02
74.36,1.85,0.3828,10,4,3.632,13.83,0.9826,0.995,875.58,943.26
46.61,2.03,0.5066,10,4,2.781,15.35,0.9935,0.995,775.56,845.55
32.62,2.2,0.3022,19,9,2.6466,11.22,0.9677,0.995,704.45,779.02
56.33,1.3,0.3031,12,6,1.9969,8.35,0.9594,0.995,618.69,675.43
71.2,1.25,0.3876,19,11,2.6482,9.27,0.9795,0.995,707.07,764.31
37.95,1.16,0.3147,19,8,3.5749,17.15,0.9721,0.995,883.32,940.78
62.37,1.95,0.3432,12,7,3.1185,12.94,0.9725,0.995,795.7,863.9
30.12,2.06,0.4355,13,7,2.0121,12.54,0.9729,0.995,648.55,718.73
28.1,1.05,0.621,11,5,1.7641,8.38,0.9946,0.9649,571.05,626.64
56.88,2.4,0.5288,18,10,1.9426,15.29,0.9856,0.995,692.34,769.78
57.44,1.08,0.5051,19,11,1.6753,13.28,0.9801,0.9927,637.17,693.14
63.25,1.81,0.4174,16,9,1.4678,10.02,0.9646,0.9867,580.54,643.78
68.57,2.06,0.6727,16,9,2.3736,9.1,0.998,0.9709,676.24,745.99
83.55,2.31,0.4588,15,9,1.5172,11.83,0.9687,0.9862,631.64,707.23
55.98,2.07,0.3348,12,6,1.6814,16.37,0.9422,0.995,671.11,743.71
44.38,2.2,0.5468,15,7,2.7325,16.65,0.998,0.995,786.21,860.89
72.71,1.51,0.3455,17,10,1.6609,14.03,0.9517,0.995,658.94,723.78
41.25,2.22,0.4381,17,9,1.3789,15.28,0.9627,0.9933,616.61,690.18
51.34,1.12,0.503,18,9,2.0887,9.15,0.9895,0.9855,630.4,687.73
29.71,2.34,0.6497,10,5,1.8169,13.88,0.998,0.9695,638.57,711.68
26.52,1.82,0.4974,10,6,2.6429,14.67,0.9941,0.995,741.7,804.67
82.76,2.23,0.5809,12,5,1.4866,10.01,0.9857,0.9604,603.85,674.4
75.16,1.68,0.6971,12,7,3.305,16.8,0.998,0.995,875.56,939.33
66.76,1.97,0.3526,19,9,3.7375,9.95,0.975,0.995,833.5,900.26
49.54,1.79,0.4099,17,7,3.2816,11.13,0.9877,0.995,782.75,849.0
35.4,2.1,0.4578,19,9,2.6919,14.21,0.991,0.995,745.17,815.7
34.39,1.12,0.4687,10,4,3.6099,14.38,0.9908,0.995,852.74,911.45
40.01,1.09,0.4644,11,6,3.1458,14.99,0.995,0.995,807.66,862.08
57.95,1.37,0.663,11,6,1.2295,9.12,0.9877,0.9437,538.54,599.38
67.88,1.24,0.5856,12,7,2.3035,16.49,0.998,0.995,754.42,812.17
